window,outcome,xset,term,beta,se,p,n,r2_within
w6_10,log_gdppc,aidtype,share_aidtype_budget_support,-0.006915735505790615,0.05382519749403182,0.8977737879477019,3143,-0.04007144719907951
w6_10,log_gdppc,aidtype,share_aidtype_project,-0.0029200249862838886,0.03761040441920367,0.9381206393972414,3143,-0.04007144719907951
w6_10,log_gdppc,aidtype,share_aidtype_pooled_earmarked,-0.4948006413100558,0.2015181969130515,0.014131063670920208,3143,-0.04007144719907951
w6_10,log_gdppc,aidtype,share_aidtype_ngo_core,-0.23869344531105235,0.5499206445200794,0.6642831251495394,3143,-0.04007144719907951
w6_10,log_gdppc,aidtype,share_aidtype_scholarships_students,-0.4218997671890589,0.20848074282912704,0.04309168568685884,3143,-0.04007144719907951
w6_10,log_gdppc,aidtype,share_aidtype_admin_refugee_awareness,-2.859767130915974,0.4469144967777662,1.8118018196844332e-10,3143,-0.04007144719907951
w6_10,log_gdppc,channel,share_channel_public_recipient,0.3356130903448698,0.07981009466255673,2.6861501285502243e-05,3143,0.3318559719294305
w6_10,log_gdppc,channel,share_channel_public_donor,-0.0986463900957497,0.07382846040892749,0.18160029406325195,3143,0.3318559719294305
w6_10,log_gdppc,channel,share_channel_ngo,-0.13074546576178367,0.25505121585655877,0.6082521811292265,3143,0.3318559719294305
w6_10,log_gdppc,channel,share_channel_multilateral,0.04461278599775516,0.09455756633493781,0.6371001905366263,3143,0.3318559719294305
w6_10,log_gdppc,channel,share_channel_private_recipient,0.10751955483603486,0.2865444990556908,0.7075175734241039,3143,0.3318559719294305
w6_10,log_gdppc,finance,share_finance_grant,0.06064656422280834,0.03228941028227035,0.060448957419844795,3143,0.16938367449327074
w6_10,log_gdppc,finance,share_finance_loan,0.09700194519254549,0.05222981648320007,0.06337940930664931,3143,0.16938367449327074
w6_10,log_gdppc,extra,share_tc_usd_irtc,0.16789036929401516,0.06555143298256988,0.010479979435547015,3143,0.18753694068196514
w6_10,log_gdppc,extra,share_untied,-0.007251942920382724,0.029054111427269907,0.8029129420125611,3143,0.18753694068196514
