window,outcome,term,beta,se,p,n
w3_5,manf_gdp,share_aidtype_technical_cooperation,-4.344531520542544,2.839831997397876,0.1261565007652694,3215
w3_5,manf_gdp,share_aidtype_budget_support,-0.4661411588919109,0.6345693403784245,0.4626526601848999,3215
w3_5,manf_gdp,share_aidtype_project,-0.3641276443944064,0.5579228462340123,0.5140320372225808,3215
w3_5,manf_gdp,share_aidtype_pooled_earmarked,-1.0698357049098062,3.219916346447254,0.7397190304545207,3215
w3_5,manf_gdp,share_aidtype_ngo_core,10.054534392213869,9.572138463255486,0.2936195412163145,3215
w3_5,manf_gdp,share_aidtype_scholarships_students,-1.2424241692556897,4.591225198531906,0.7867105700969528,3215
w3_5,manf_gdp,share_aidtype_admin_refugee_awareness,4.264731923785461,11.127387183997614,0.701550458878391,3215
w3_5,tax_gdp,share_aidtype_technical_cooperation,-17.55197786140964,13.914546295522824,0.2073144260696371,2053
w3_5,tax_gdp,share_aidtype_budget_support,4.438095989229983,6.492971851891716,0.4943592916991992,2053
w3_5,tax_gdp,share_aidtype_project,0.8828745864598266,3.981439807051387,0.8245341047284056,2053
w3_5,tax_gdp,share_aidtype_pooled_earmarked,-29.06361946361973,28.80633032633207,0.3131351929164032,2053
w3_5,tax_gdp,share_aidtype_ngo_core,-5.782247861523463,40.30157656428626,0.8859305969857836,2053
w3_5,tax_gdp,share_aidtype_scholarships_students,-12.471286969541172,11.678342680738668,0.2857011604117787,2053
w3_5,tax_gdp,share_aidtype_admin_refugee_awareness,-38.3545960193244,39.19637246568393,0.3279390872345034,2053
w3_5,elec_access,share_aidtype_technical_cooperation,6.805406210524365,15.38127558109442,0.6581935902896561,3575
w3_5,elec_access,share_aidtype_budget_support,-1.6865255329199706,1.7814177098491717,0.343842529152824,3575
w3_5,elec_access,share_aidtype_project,-0.560240777478095,1.460612609918458,0.7013244096084383,3575
w3_5,elec_access,share_aidtype_pooled_earmarked,2.208623678104008,9.732079323772618,0.82048199627015,3575
w3_5,elec_access,share_aidtype_ngo_core,-14.595082180343605,28.842862722224037,0.6128750072777047,3575
